Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1_web_katalon_demo_web_view,Chrome 126.0.0.0,,,02-07-2024 21:16:45,02-07-2024 21:18:15,1m - 30.284s,PASSED
,,,,,,,
Test Cases/WEB/T1_LoadPage,Chrome 126.0.0.0,,,02-07-2024 21:16:45,02-07-2024 21:16:50,4.733s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 21:16:45,02-07-2024 21:16:47,1.294s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 21:16:47,02-07-2024 21:16:49,2.807s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 126.0.0.0,,,02-07-2024 21:16:49,02-07-2024 21:16:50,0.326s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 126.0.0.0,,,02-07-2024 21:16:50,02-07-2024 21:16:50,0.094s,PASSED
,,,,,,,
Test Cases/WEB/T2_on_homePage_scroll,Chrome 126.0.0.0,,,02-07-2024 21:16:50,02-07-2024 21:16:56,5.934s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 21:16:50,02-07-2024 21:16:50,0.602s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 21:16:50,02-07-2024 21:16:53,2.783s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_CURA Healthcare Service        We Care _b17f12""))",Chrome 126.0.0.0,,,02-07-2024 21:16:53,02-07-2024 21:16:53,0.271s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,02-07-2024 21:16:53,02-07-2024 21:16:54,0.275s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""))",Chrome 126.0.0.0,,,02-07-2024 21:16:54,02-07-2024 21:16:54,0.559s,PASSED
