Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1_web_katalon_demo_web_view,Chrome 126.0.0.0,,,02-07-2024 20:58:55,02-07-2024 20:59:24,29.076s,PASSED
,,,,,,,
Test Cases/WEB/T1_LoadPage,Chrome 126.0.0.0,,,02-07-2024 20:58:55,02-07-2024 20:59:00,4.723s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 20:58:55,02-07-2024 20:58:57,1.261s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 20:58:57,02-07-2024 20:58:59,2.799s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 126.0.0.0,,,02-07-2024 20:58:59,02-07-2024 20:59:00,0.335s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 126.0.0.0,,,02-07-2024 20:59:00,02-07-2024 20:59:00,0.094s,PASSED
,,,,,,,
Test Cases/WEB/T2_on_homePage_scroll,Chrome 126.0.0.0,,,02-07-2024 20:59:00,02-07-2024 20:59:06,6.142s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 20:59:00,02-07-2024 20:59:01,0.586s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 20:59:01,02-07-2024 20:59:04,3.001s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_CURA Healthcare Service        We Care _b17f12""))",Chrome 126.0.0.0,,,02-07-2024 20:59:04,02-07-2024 20:59:04,0.269s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,02-07-2024 20:59:04,02-07-2024 20:59:04,0.270s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""))",Chrome 126.0.0.0,,,02-07-2024 20:59:04,02-07-2024 20:59:05,0.576s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,02-07-2024 20:59:05,02-07-2024 20:59:05,0.264s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""))",Chrome 126.0.0.0,,,02-07-2024 20:59:05,02-07-2024 20:59:05,0.257s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h3_We Care About Your Health""))",Chrome 126.0.0.0,,,02-07-2024 20:59:05,02-07-2024 20:59:05,0.268s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""))",Chrome 126.0.0.0,,,02-07-2024 20:59:05,02-07-2024 20:59:06,0.254s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,02-07-2024 20:59:06,02-07-2024 20:59:06,0.264s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 20:59:06,02-07-2024 20:59:06,0.084s,PASSED
,,,,,,,
Test Cases/WEB/t3_click_homepage_button_and_login,Chrome 126.0.0.0,,,02-07-2024 20:59:06,02-07-2024 20:59:12,5.812s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 20:59:06,02-07-2024 20:59:07,0.536s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 20:59:07,02-07-2024 20:59:09,2.780s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 20:59:09,02-07-2024 20:59:10,0.624s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,02-07-2024 20:59:10,02-07-2024 20:59:11,0.659s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,02-07-2024 20:59:11,02-07-2024 20:59:11,0.305s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,02-07-2024 20:59:11,02-07-2024 20:59:12,0.854s,PASSED
,,,,,,,
Test Cases/WEB/t4_make_an_appointment,Chrome 126.0.0.0,,,02-07-2024 20:59:12,02-07-2024 20:59:24,12.274s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 20:59:12,02-07-2024 20:59:13,0.694s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 20:59:13,02-07-2024 20:59:15,2.801s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 20:59:15,02-07-2024 20:59:16,0.625s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,02-07-2024 20:59:16,02-07-2024 20:59:17,0.739s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,02-07-2024 20:59:17,02-07-2024 20:59:17,0.292s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,02-07-2024 20:59:17,02-07-2024 20:59:18,0.867s,PASSED
